Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
535.0,0.74048,6.17658,0.63427,0.001,0.52013,125.42365,33.84267,53.0797,17.3914,0.7511,0.001,0.81075,0.001,500.0,13.06276,14.72476,0.2621,0.4862,0.10269,0.00133,0.00123,125943.77994,2.08231
10.60592,0.3639,68.97955,7.20377,0.001,0.001,479.81659,2.04105,0.001,0.87684,3.80413,0.251,1.33034,0.37602,1000.0,4.91558,9.62016,3.30717,2.839,0.10443,0.06598,0.28265,479817.59157,0.43009
615.9,0.88217,43.06756,1.08786,0.001,0.001,18.26234,94.40583,0.66652,1.05104,7.0201,0.001,41.87109,0.54059,1000.0,12.89088,7.40504,5.53995,4.45953,0.02526,0.00014,0.01291,18263.34258,0.01819
732.7,0.95584,21.62644,1.56673,0.001,152.91652,37.35577,60.38939,10.36352,2.18483,4.78035,0.27312,0.001,0.001,1000.0,66.99411,19.56844,16.16176,16.29564,0.07245,0.05713,1.0,190272.29139,0.20779
710.0,0.4106,68.72769,0.60489,0.001,51.6154,467.14376,8.25772,0.53113,0.44175,0.001,0.001,0.001,0.001,1000.0,16.61563,8.28774,3.10785,0.759,0.0088,1.0,1.0,518759.16543,0.11781
737.7,0.78573,0.40519,0.44723,0.001,566.94185,808.21381,79.71053,44.2488,1.54243,0.001,0.001,0.28342,0.30539,500.0,24.52055,57.60099,4.79317,5.91754,1.10373,1.0,1.07752,1.37515566357e6,0.57447
988.8,0.87642,0.67747,2.76918,0.00668,0.00528,285.78691,2.12778,0.001,33.67671,0.001,0.001,0.001,0.001,1000.0,85.04502,1.36102,0.95558,0.69488,4.08751,1.0,1.0,42788.81203,15.82764
265.3,0.78596,2.96,3.61247,0.001,91.03478,116.84775,51.50932,53.42976,2.23366,0.12982,0.00309,0.50265,0.25351,500.0,72.61633,1.30983,0.62785,0.19742,1.22043,0.02384,0.50435,207882.52298,1.08065
832.4,0.80386,24.05907,3.16282,0.001,5.12748,144.89062,1.55916,0.41886,2.46295,0.001,0.001,0.001,0.001,500.0,27.56079,4.73315,2.11717,1.38464,0.13146,1.0,1.0,150018.1021,1.84831
110.47059,0.26829,1.44325,19.55153,1.60186,2.48605,4.85579,2.3847,5.6978,5.3136,0.93802,2.66605,2.4386,1.5487,10000.0,7.29604,2.89718,1.79132,5.38997,13.54688,2.84222,0.63508,4.58332,4.61752
117.48667,0.27807,0.99149,19.09748,1.24016,0.00216,0.01814,0.02333,1.8307,9.89273,2.34404,0.00624,0.71821,0.05554,9999.133318474127,8.24509,1.83511,0.04264,1.38676,19.26136,0.00266,0.07733,0.01637,502.50459
114.15,0.2851,1.0595,19.59922,1.66395,0.00216,0.01814,0.02333,3.24052,10.36721,1.7961,0.00624,1.04866,0.0589,10000.0,7.24209,1.85456,0.04264,1.46874,18.49858,0.00347,0.05617,0.0122,583.27174
102.53333,0.25548,4.73133,18.6747,0.8899,2.16702,0.01814,1.24089,1.39428,10.26357,3.93595,2.75814,1.69247,0.39557,10000.0,6.48568,3.47765,0.04779,2.23393,3.94703,0.70076,0.23372,2.45551,9.39472
171.18,0.24533,1.18132,18.49309,1.62849,0.00216,0.01814,0.02299,1.77459,10.60046,1.98754,0.00624,0.86987,0.05204,9999.909184539707,7.85534,1.94869,0.04264,1.47006,15.65456,0.00314,0.05983,0.01247,538.22222
117.025,0.28869,1.11818,19.4426,1.22327,0.00216,0.01814,0.02333,2.67758,10.77135,1.38597,0.00624,0.50261,0.05511,10000.0,8.24569,2.07999,0.04264,1.54995,17.38775,0.0045,0.10965,0.01659,576.46502
108.25294,0.28905,1.07346,19.65321,1.21207,0.00216,0.01814,0.02299,2.3817,10.30212,1.40292,0.00624,0.44154,0.06593,10000.0,8.19428,1.8566,0.04264,1.51805,18.30831,0.00445,0.14931,0.01675,551.6508
120.6,0.28132,1.12534,19.193,0.71852,0.00216,0.01814,0.02333,2.21301,10.07842,2.08107,0.00624,0.59682,0.0521,9999.457923602358,7.75494,1.78631,0.04264,1.4417,17.05527,0.003,0.08729,0.02825,526.85046
104.4,0.28216,1.13888,17.91496,1.87865,0.00216,0.01814,0.02333,2.31555,12.11406,2.37157,0.00624,0.61503,0.06021,9997.718447436182,7.84727,2.09465,0.04264,1.55567,15.73035,0.00263,0.0979,0.01081,618.50016
115.35625,0.28678,0.88418,19.56184,1.26055,0.00216,0.01814,0.02333,2.84981,11.18665,1.53725,0.00624,0.24351,0.04855,10000.0,8.98418,1.89789,0.04264,1.46409,22.12419,0.00406,0.19938,0.0161,601.6486
128.87143,0.25392,1.12152,18.39429,1.20519,0.00216,0.01814,0.02299,1.95649,10.49328,1.46252,0.00624,0.91938,0.0509,9998.954591556507,8.24386,1.98438,0.04264,1.50527,16.40127,0.00427,0.05537,0.01684,541.47184
82.26,0.19642,1.13145,19.3937,1.20604,0.00216,0.01814,0.02333,1.62532,9.61863,2.91337,0.00624,0.25552,0.04881,9998.20794168976,7.75878,1.95357,0.04264,1.57537,17.14062,0.00214,0.191,0.01683,481.95277
120.69333,0.28541,1.18929,19.55975,0.53207,0.00216,0.01814,0.02333,1.94043,10.72712,0.57194,0.00624,0.23447,0.05749,10000.0,7.73695,1.90351,0.04264,1.45107,16.44654,0.01091,0.2452,0.03815,542.97266
129.30714,0.28335,0.98433,19.76527,1.15034,0.00216,0.01814,0.02333,3.39202,10.4556,1.11002,0.00624,0.41128,0.04855,9999.109707647807,8.70167,1.89789,0.04264,1.46409,20.07996,0.00562,0.11805,0.01765,593.55406
133.89231,0.28165,1.05733,19.57523,1.08345,0.00216,0.01814,0.02333,4.41828,9.85963,1.5553,0.00624,0.63729,0.04379,9998.981916198973,8.27067,1.85874,0.04264,1.41639,18.51376,0.00401,0.06871,0.01874,611.99826
127.77143,0.26918,1.12534,19.62996,1.10929,0.00216,0.01814,0.02333,3.69379,10.04119,1.4951,0.00624,0.67454,0.05196,9999.403228629857,8.8497,1.90525,0.04264,1.44361,17.44356,0.00417,0.07702,0.0183,588.72571
117.22,0.2793,0.92171,18.92065,1.05684,0.00216,0.01814,0.02333,1.83146,9.89273,2.34404,0.00624,0.71821,0.0559,9999.003033402436,8.3577,1.83511,0.04264,1.40587,20.52781,0.00266,0.07783,0.01921,502.53701
102.73333,0.28088,1.19613,19.56172,1.76727,0.00216,0.01814,0.02265,0.66695,9.66518,0.67239,0.00624,0.36603,0.08069,9999.403228629857,8.08994,2.02338,0.04264,1.61203,16.35413,0.00928,0.22045,0.01149,456.0658
128.53571,0.23316,1.13668,20.48388,0.7981,0.00216,0.01814,0.02333,2.20393,11.61177,1.14919,0.00624,0.56777,0.0582,10000.0,11.18406,2.23161,0.04264,1.79495,18.02073,0.00543,0.1025,0.02544,592.18609
128.25714,0.27903,5.39209,16.47316,3.61062,0.83503,1.28452,2.7326,0.99756,13.50737,1.60546,0.11636,0.54548,2.28016,10000.0,11.8005,3.95694,3.81947,1.42269,3.05506,0.07247,4.18014,0.58703,5.3081
127.92857,0.28464,1.19497,19.13527,1.15638,0.00216,0.01814,0.02333,3.52315,10.08334,1.65187,0.00624,0.55036,0.04546,9999.019248989876,7.86504,1.91325,0.04264,1.44406,16.01319,0.00378,0.08261,0.01755,583.21861
129.65,0.28278,0.99149,19.24909,1.10962,0.00216,0.01814,0.02333,4.00825,9.80648,1.97985,0.00624,0.72466,0.04554,9998.861152232215,8.21093,1.83511,0.04264,1.46512,19.41428,0.00315,0.06284,0.01829,592.14441
121.13333,0.28764,1.19118,19.13527,1.44528,0.00216,0.01814,0.02333,3.7147,10.78734,1.65134,0.00624,0.6869,0.05164,10000.0,7.75202,1.985,0.04264,1.47713,16.06407,0.00378,0.07519,0.01405,621.60507
164.01818,0.25821,0.8373,19.57688,1.18255,0.00216,0.01814,0.02333,2.36796,10.54645,1.23581,0.00624,0.50945,0.05241,10000.0,7.77482,1.75715,0.04264,1.45509,23.38083,0.00505,0.10288,0.01717,553.55367
107.38235,0.28489,1.32747,19.74233,2.48207,0.00216,0.01814,0.02299,1.47518,10.63976,0.86015,0.00624,0.39815,0.07249,10000.0,7.73829,1.94869,0.04264,1.56727,14.87212,0.00725,0.18206,0.00818,526.9093
128.18571,0.27054,2.71928,19.0036,2.68825,4.32624,2.27769,2.84577,2.93523,11.68752,1.8583,0.00624,3.82307,0.05511,9999.248547549354,8.93153,4.80437,3.89499,1.48882,6.98847,0.00336,0.01442,2.45659,5.13842
150.06667,0.24764,1.05733,19.10288,0.89663,0.00216,0.01814,0.02333,3.12574,9.89899,2.46681,0.00624,0.87368,0.06448,9998.938452747225,8.29338,1.70041,0.04264,1.44131,18.06702,0.00253,0.0738,0.02264,558.28244
109.38235,0.2731,1.17191,19.71458,2.48629,0.00216,0.01814,0.02272,1.66632,11.74618,1.09782,0.00624,0.52939,0.07249,10000.0,7.73737,1.7585,0.04264,1.46634,16.82258,0.00568,0.13692,0.00816,590.42511
91.03,0.25787,1.05017,19.86768,1.00963,0.00216,0.01814,0.02299,1.2714,9.99273,0.69704,0.00624,0.08512,0.06332,9999.403228629857,8.64234,1.99202,0.04264,1.55233,18.91852,0.00895,0.74385,0.02011,489.90554
175.22,0.25135,0.92212,17.55339,4.65258,0.56645,0.61279,0.02299,1.0358,11.15747,1.44047,0.00624,0.23935,4.29464,10000.0,8.75939,1.28938,0.04264,3.60399,19.03592,0.00433,17.94299,0.25346,530.31621
127.04286,0.24904,0.93216,18.27738,1.10962,0.00216,0.01814,0.02333,3.84687,10.43502,2.03808,0.00624,0.67956,0.04585,9999.403228629857,8.07939,1.83511,0.04264,1.43207,19.60756,0.00306,0.06747,0.01829,612.16839
127.86429,0.28044,0.98433,19.04229,1.2418,0.00216,0.01814,0.02333,2.84408,11.07313,1.60546,0.00624,0.45355,0.04855,9999.403228629857,8.79947,1.89789,0.04264,1.48739,19.34548,0.00389,0.10705,0.01635,596.53687
118.96,0.27935,1.07434,19.30457,1.20754,0.00216,0.01814,0.02333,3.1354,12.18348,1.16433,0.00624,0.43426,0.06108,10000.0,8.70167,1.89924,0.04264,1.4396,17.96879,0.00536,0.14065,0.01681,656.61698
115.7875,0.2778,0.87057,18.94524,0.71852,0.00216,0.01814,0.02333,1.80247,9.89163,2.08107,0.00624,0.79339,0.05379,9999.118870144956,7.75878,1.91235,0.04264,1.38267,21.76179,0.003,0.06779,0.02825,501.24727
105.11667,0.26153,1.28304,20.81961,1.98004,0.00216,0.01814,0.02299,0.9531,10.82095,1.00903,0.00624,0.54051,0.07249,10000.0,7.71549,1.91839,0.04264,1.67533,16.22682,0.00618,0.13411,0.01025,512.08295
109.97647,0.29215,1.0595,19.59922,1.66395,0.00216,0.01814,0.02333,3.09677,10.34126,2.04103,0.00624,0.83432,0.06279,10000.0,7.65744,1.85456,0.04264,1.44935,18.49858,0.00306,0.07526,0.0122,575.99783
139.6,0.27485,1.05733,18.2717,1.08345,0.00216,0.01814,0.02333,3.11042,10.51011,2.42582,0.00624,0.76275,0.0389,9999.403228629857,8.08614,1.90776,0.04264,1.4937,17.28091,0.00257,0.051,0.01874,583.82051
97.73158,0.27469,4.54814,19.13776,3.50003,3.18341,3.00039,0.02333,6.31117,5.89344,1.32235,4.88548,0.54509,0.89625,9998.609221994417,8.33042,1.79793,0.29558,1.41513,4.20782,3.69456,1.64423,1.76678,523.12917
107.79412,0.28545,1.22704,23.84799,0.86218,0.00216,0.01814,0.02323,0.50192,11.12494,1.06522,0.00624,0.48593,0.07021,9999.760190004752,8.11214,2.05228,0.04264,1.66106,19.43544,0.00586,0.14448,0.02355,500.60946
124.10667,0.27228,1.08475,19.86886,1.25384,0.00216,0.01814,0.02333,2.35763,11.3525,1.106,0.00624,0.49297,0.0564,10000.0,9.09081,2.05845,0.04264,1.58001,18.31651,0.00564,0.11441,0.01619,587.661
121.52667,0.28596,1.05454,19.11386,1.48086,0.00216,0.01814,0.02328,2.06489,10.80101,1.02626,0.00624,0.35925,0.05472,10000.0,8.26667,1.91937,0.04264,1.49411,18.12532,0.00608,0.15233,0.01371,552.55393
127.37143,0.27903,0.99149,19.94874,1.07907,0.00216,0.01814,0.02333,2.67367,10.20761,2.76661,0.00624,0.84128,0.0464,9999.820801601076,8.26036,1.83511,0.04264,1.43207,20.11993,0.00226,0.05515,0.01881,552.13355
141.22308,0.2395,1.11818,19.55911,0.30058,0.00216,0.01814,0.02333,1.59678,10.11204,0.8032,0.00624,0.28344,0.05511,10000.0,6.78788,1.97513,0.04264,1.49992,17.49195,0.00777,0.19444,0.06754,501.87817
149.05833,0.24654,1.12318,20.5097,1.15973,0.00216,0.01814,0.02299,1.75717,10.4567,1.5106,0.00624,0.67356,0.04258,10000.0,8.25812,2.00189,0.04264,1.53781,18.26043,0.00413,0.06322,0.0175,531.21193
120.10667,0.28876,0.87731,19.47418,1.48086,0.00216,0.01814,0.02299,2.06489,10.6079,1.02626,0.00624,0.35925,0.05472,10000.0,8.26667,1.83416,0.04264,1.49411,22.19759,0.00608,0.15233,0.01371,551.17147
125.425,0.15959,4.88525,20.34826,3.13321,2.56863,4.57126,0.86858,1.02963,12.07414,1.24483,1.17217,2.96477,2.57658,9996.837390762597,5.17684,2.49633,0.96179,4.83367,4.16524,0.94163,0.86906,2.27878,15.08637
116.1,0.2681,4.10785,19.65289,6.46895,0.00216,0.01814,0.02299,3.66381,6.82335,1.33884,0.00624,0.4813,1.49665,10000.0,7.79585,1.95182,0.04264,1.32587,4.78422,0.00466,3.10957,0.00314,456.11271
152.44167,0.24608,4.68491,21.19314,4.15727,0.00216,0.01814,0.08995,0.46102,9.02627,4.90359,1.70473,1.07462,2.60179,10000.0,12.75081,6.4784,2.50409,1.70444,4.5237,0.34765,2.42113,0.00488,105.47026
141.56154,0.24926,1.24234,18.93651,0.94203,0.00216,0.01814,0.02333,4.83629,10.35866,1.77815,0.00624,0.70914,0.04546,9999.32769323607,7.77482,1.92721,0.04264,1.45509,15.24263,0.00351,0.06411,0.02155,651.30549
167.84,0.2524,1.05733,15.02017,1.98109,0.00216,0.01814,1.50094,4.77125,6.01625,3.22453,3.47529,0.81851,0.51567,9995.084024332738,8.26931,1.4939,0.04264,5.4933,14.2057,1.07777,0.63001,0.01025,7.18717
124.82667,0.27683,1.54606,19.54804,1.15638,0.00216,0.01814,0.02333,2.08254,10.62154,1.62356,0.00624,0.37056,0.04546,10000.0,7.78157,2.01793,0.04264,1.54244,12.64375,0.00384,0.12269,0.01755,544.53849
156.98182,0.24996,1.12318,19.54621,1.29713,0.00216,0.01814,0.02299,1.25018,11.01159,0.82463,0.00624,0.3339,0.06729,10000.0,8.01906,2.00189,0.04264,1.71269,17.40261,0.00757,0.20152,0.01565,533.29549
184.64444,0.21927,0.44934,24.02042,1.9468,0.75459,0.01656,1.53986,2.58302,15.23544,1.98271,1.97317,1.95512,1.67035,9995.755546785254,8.04283,6.07683,0.04264,3.43276,53.4576,0.99519,0.85434,0.39611,11.57145
125.72,0.2531,1.09727,16.38612,1.02783,0.00216,0.01814,0.02333,0.80404,11.48489,0.72056,0.00624,0.4598,0.05713,10000.0,9.05827,2.31255,0.04264,1.80175,14.93354,0.00866,0.12426,0.01975,526.74365
122.8,0.2826,0.93048,19.58906,1.61204,0.00216,0.01814,0.02265,2.91514,10.27569,1.95468,0.00624,0.79802,0.05174,10000.0,8.31133,1.8566,0.04264,1.45868,21.05275,0.00319,0.06484,0.01259,582.3012
123.13333,0.27484,1.14018,19.33531,1.29422,0.00216,0.01814,0.02333,2.69388,12.47766,1.17335,0.00624,0.47518,0.05781,9999.403228629857,8.67887,1.97189,0.04264,1.49497,16.9581,0.00532,0.12166,0.01569,650.3016
160.34545,0.20269,5.43258,17.99854,1.69408,2.02174,0.10177,4.26981,1.79795,12.41355,0.66347,2.69601,0.26117,3.28456,10000.0,8.77779,0.17806,0.12524,1.05781,3.31307,4.06347,12.57614,1.25349,3.32837
119.63333,0.27067,0.99149,18.89403,1.08148,0.00216,0.01814,0.02333,3.20988,9.93947,1.85595,0.00624,0.97158,0.05652,9999.457923602358,8.26702,1.90262,0.04264,1.37867,19.05618,0.00336,0.05817,0.01877,563.62392
128.87143,0.27447,0.88322,18.75388,1.08345,0.00216,0.01814,0.02333,3.08324,10.16191,2.45413,0.00624,0.88086,0.04675,9998.489385764986,8.39491,1.82116,0.04264,1.44004,21.23349,0.00254,0.05307,0.01874,567.73046
116.48125,0.28777,1.00322,19.64873,1.14947,0.00216,0.01814,0.02333,2.61718,9.84449,1.33714,0.00624,0.48323,0.05305,10000.0,8.05422,1.9858,0.04264,1.44683,19.58558,0.00467,0.10978,0.01766,534.14792
168.79,0.23596,2.36953,19.01551,3.24119,1.41803,4.3932,0.02333,5.9302,9.03125,0.14044,3.22942,1.52628,0.04856,9996.344981272294,6.70492,6.71021,2.45987,1.42858,8.02501,22.99567,0.03182,1.79293,641.29639
108.38235,0.28424,1.31984,18.37523,2.02877,0.00216,0.01814,0.02284,1.38368,10.9867,0.91103,0.00624,0.40807,0.07142,10000.0,7.81068,2.03044,0.04264,1.57301,13.92233,0.00685,0.17502,0.01001,541.72101
128.93571,0.27514,1.06216,19.58106,2.19234,0.00216,0.01814,0.02265,1.2478,10.67235,1.56564,0.00624,0.65302,0.04735,10000.0,8.22919,2.02338,0.04264,1.55258,18.43512,0.00399,0.07251,0.00926,526.16142
143.125,0.22855,1.31756,19.2003,2.02877,0.00216,0.01814,0.02299,1.20577,10.9867,0.81006,0.00624,0.27233,0.05224,10000.0,7.81068,1.75825,0.04264,1.57301,14.57258,0.0077,0.19184,0.01001,530.281
120.5,0.25732,1.87882,23.0637,1.72225,2.55897,0.01814,4.76667,1.32939,11.74714,1.25775,0.00624,1.76113,4.06,10000.0,10.53023,1.88284,0.75077,1.11098,12.27562,0.00496,2.30534,1.49636,2.74332
118.9125,0.28834,1.00805,19.67271,1.62571,0.00216,0.01814,0.02299,1.82239,12.76083,1.75822,0.00624,0.68487,0.05444,10000.0,8.11194,2.07993,0.04264,1.62338,19.5156,0.00355,0.07949,0.01249,634.26106
121.58,0.27681,1.12534,18.46862,1.63778,0.00216,0.01814,0.02333,2.28825,9.90003,2.34451,0.00624,0.92274,0.05196,9999.13109817708,7.83239,1.92721,0.04264,1.45509,16.41157,0.00266,0.0563,0.01239,522.4293
119.52,0.28439,1.13145,19.3937,1.28913,0.00216,0.01814,0.02333,1.62532,9.61863,2.91337,0.00624,0.81272,0.04881,9998.20794168976,7.75878,1.95357,0.04264,1.57537,17.14062,0.00214,0.06005,0.01575,481.95277
160.2,0.25058,0.57565,15.28443,2.40729,2.283,1.49384,0.60519,2.62628,14.37068,3.65527,0.00624,3.62,3.8551,9997.783070767264,4.80275,6.18831,3.64873,1.43556,26.55163,0.00171,1.06494,1.56891,28.08542
130.62143,0.27007,4.60477,21.8201,2.10733,3.08445,3.82059,1.26996,3.47985,10.57285,5.42717,3.07522,3.78539,4.37501,9999.163279955868,7.75202,2.24574,1.72833,4.20733,4.73859,0.56663,1.15576,3.27668,11.06543
141.58462,0.24094,1.12152,14.29729,3.61331,2.57385,2.45387,1.5153,1.27249,10.69025,0.84282,0.2803,0.36327,0.35026,10000.0,5.36573,3.20026,0.40309,0.1,12.74817,0.33257,0.9642,1.39144,7.89464
141.68333,0.26885,0.99149,19.21267,1.10962,0.00216,0.01814,0.02333,2.65874,10.69118,2.40263,0.00624,0.76138,0.0389,9999.457923602358,8.27661,1.83511,0.04264,1.43207,19.37754,0.0026,0.0511,0.01829,572.22121
121.07333,0.22499,0.98433,19.67679,1.15034,0.00216,0.01814,0.02333,3.19383,9.94447,0.95449,0.00624,0.90927,0.05344,10000.0,8.76434,1.84886,0.04264,1.40949,19.99008,0.00654,0.05877,0.01765,563.1505
109.68235,0.28393,1.16877,17.66021,1.30128,0.00216,0.01814,0.02333,0.8803,10.99875,1.79817,0.00624,0.34989,0.05405,9999.457923602358,7.83872,2.06584,0.04264,1.6108,15.11003,0.00347,0.15446,0.0156,509.17493
141.1,0.25157,1.19254,23.02333,1.58848,4.26357,0.47052,3.52366,5.437,15.61366,3.39348,3.80962,5.33788,0.07021,9999.605406313594,10.25101,5.41557,0.04264,2.58974,19.30607,1.12263,0.01315,2.98026,5.97409
113.30625,0.28008,1.07777,19.58243,2.06127,0.00216,0.01791,0.02333,2.84611,12.04289,1.47754,0.00608,1.01606,0.06542,10000.0,7.46051,1.94622,0.04264,1.48478,18.16942,0.00412,0.06439,0.00974,638.19131
115.91875,0.28951,0.73512,19.56371,1.6588,0.00216,0.01814,0.02299,1.57317,10.22159,1.65689,0.00624,0.71109,0.0513,10000.0,7.83254,1.99951,0.04264,1.55519,26.61277,0.00377,0.07214,0.01224,512.98388
154.99091,0.2582,1.07828,19.77805,1.68832,0.00216,0.01814,0.02265,1.73065,10.36985,1.57906,0.00624,0.27784,0.07181,10000.0,8.25199,1.95073,0.04264,1.5766,18.34214,0.00395,0.25848,0.01202,534.12203
117.53333,0.26735,1.23439,20.02818,1.90363,0.00216,0.01814,0.02333,2.54415,12.14399,1.57367,0.00624,0.53984,0.05919,10000.0,8.77412,2.01305,0.04264,1.4177,16.22521,0.00397,0.10964,0.01066,629.58191
131.6,0.27601,1.21008,20.7082,0.76272,0.00216,0.01814,0.02333,1.53633,10.6654,0.99078,0.00624,0.50484,0.04682,10000.0,7.95781,2.08776,0.04264,1.59284,17.11308,0.0063,0.09275,0.02662,523.00578
126.63571,0.28633,1.05733,19.75901,0.9674,0.00216,0.01814,0.02333,4.19646,10.66718,1.37842,0.00624,0.54227,0.04997,10000.0,8.27067,1.85874,0.04264,1.41639,18.68757,0.00453,0.09215,0.02098,637.10434
96.735,0.26214,1.12534,19.63151,1.18255,0.00216,0.01814,0.02333,2.36796,10.69449,1.23581,0.00624,0.60789,0.06994,10000.0,7.77482,2.30836,0.04264,1.45509,17.44494,0.00505,0.11505,0.01717,559.89936
135.36154,0.26835,1.13852,18.79163,1.62274,0.00216,0.01814,0.02333,3.05407,11.51429,1.04932,0.00624,0.43426,0.04749,10000.0,8.77407,1.96202,0.04264,1.47503,16.5053,0.00595,0.10935,0.01251,624.44747
117.38,0.28174,1.04738,19.24616,1.52157,0.00216,0.01814,0.02264,0.11981,11.25844,0.59365,0.00624,0.13325,0.05742,10000.0,8.73753,1.98215,0.04264,1.55233,18.37561,0.01051,0.43095,0.01334,502.54011
147.38333,0.2627,1.10077,20.90026,1.19166,0.00216,0.01814,0.02333,2.6272,10.71444,1.11322,0.00624,0.62623,0.03582,9999.403228629857,8.28794,2.12956,0.04264,1.59701,18.98699,0.00561,0.0572,0.01704,571.86619
197.325,0.21572,1.08153,18.58716,2.00735,0.00216,0.01758,0.02333,2.02468,10.28301,1.71952,0.00555,0.62721,0.04855,9999.403228629857,8.07936,1.8967,0.04264,1.49719,17.18598,0.00323,0.07741,0.00983,527.54784
119.2,0.243,1.05733,19.15493,1.83639,0.00216,0.01814,0.02333,4.77125,10.91653,2.30854,0.00624,0.72048,0.04508,10000.0,8.26548,1.90776,0.04264,1.48341,18.11625,0.0027,0.06258,0.01105,672.42987
130.57143,0.26426,1.24836,17.5701,1.6303,0.00216,0.01814,0.02333,0.6356,10.82004,1.54046,0.00624,0.51257,0.04749,10000.0,8.28794,2.12956,0.04264,1.7647,14.0745,0.00405,0.09264,0.01245,491.02646
126.88571,0.28639,0.88189,18.70148,1.58587,0.00216,0.01814,0.02299,2.86843,10.05321,2.36582,0.00624,0.61459,0.04479,9998.680146126899,8.40154,1.84264,0.04264,1.49411,21.20618,0.00264,0.07288,0.0128,561.99453
140.05385,0.27496,1.05733,18.30812,1.08345,0.00216,0.01814,0.02333,3.21094,10.10899,2.0471,0.00624,0.72048,0.0389,9998.806457259714,8.05659,1.90776,0.04264,1.4675,17.31536,0.00305,0.054,0.01874,570.93536
122.15333,0.24585,1.19118,20.57631,1.0616,0.00216,0.01814,1.70725,1.37211,11.38816,0.41118,2.21364,0.01341,3.5475,10000.0,9.36582,4.72875,1.61472,1.52089,17.27383,5.38365,264.63205,0.01912,7.47415
129.8,0.24224,1.99435,19.60932,1.26672,0.00216,0.01814,0.02333,0.73444,11.53819,0.84302,0.00624,0.41319,0.05511,10000.0,8.22289,2.15054,0.04264,1.57728,9.83246,0.0074,0.13338,0.01603,526.04486
124.38,0.27854,1.07623,20.66986,0.7859,0.00216,0.01814,0.02341,2.20817,10.3205,1.44085,0.00624,0.64076,0.05188,9999.938496565212,8.17147,1.95815,0.04264,1.54314,19.20579,0.00433,0.08096,0.02583,535.22941
183.04444,0.22522,1.18932,19.57688,2.47412,0.00216,4.50784,2.62818,2.24971,8.50161,1.3336,4.40864,3.14675,3.09479,9998.279884891563,5.23293,6.21532,3.72532,1.47093,16.46057,3.30582,0.98349,1.82287,4.09079
122.50667,0.26632,1.06232,18.89479,1.5638,0.00216,0.01814,0.02333,1.62947,10.02602,1.9658,0.00624,0.82573,0.05484,9999.973753150975,8.46991,1.92721,0.04264,1.45509,17.78637,0.00317,0.06641,0.01298,499.59271
114.6125,0.26438,0.90889,19.66168,1.93838,0.00216,0.01814,0.02299,2.3817,11.1576,0.91559,0.00624,0.61632,0.06593,10000.0,8.19335,1.75749,0.04264,1.41712,21.63268,0.00682,0.10697,0.01047,588.85784
155.87273,0.26218,1.23526,19.57387,1.24668,0.00216,0.01814,0.02333,1.89854,10.31312,2.08948,0.00624,2.29431,0.06408,10000.0,7.3764,1.90728,0.04264,1.49092,15.84594,0.00299,0.02793,0.01628,523.43176
127.25714,0.25375,1.33055,18.98086,1.20754,0.00216,0.01814,0.02333,2.57409,11.16735,0.72699,0.00624,0.43426,0.05768,10000.0,8.70167,1.9759,0.04264,1.5177,14.26539,0.00858,0.13283,0.01681,589.00327
132.70714,0.26408,1.24234,18.19319,1.10857,0.00216,0.01814,0.02333,1.23977,10.6233,1.50765,0.00624,0.67581,0.04682,9999.864750459747,7.72353,1.95676,0.04264,1.4808,14.6443,0.00414,0.06928,0.01831,508.48988
147.0,0.2472,10.18155,8.89797,79.18245,48.03083,55.50782,18.98429,40.08193,18.01957,4.45391,66.1584,64.72227,13.91237,9944.581886595899,78.72764,69.35701,2.99546,19.78344,0.87393,14.85402,0.21495,1.3076,3.0605
112.94118,0.27704,29.98592,37.25988,51.70784,48.48596,4.44804,21.12714,37.0814,34.56138,9.24425,9.85012,41.1553,53.48742,9984.447182106267,98.78121,18.3404,1.89452,72.28444,1.24258,1.06554,1.29965,1.02371,3.39103
107.84118,0.29539,1.22995,22.00888,1.37147,0.00216,0.01814,0.02341,1.73875,10.72726,1.58447,0.00624,0.40407,0.05624,9999.760190004752,7.77305,2.05024,0.04264,1.59236,17.89413,0.00394,0.13918,0.0148,532.55274
123.53333,0.29063,1.05733,18.73313,2.56299,0.00216,0.01814,0.02333,4.93144,10.61519,2.365,0.00624,0.63729,0.04508,10000.0,8.208,1.90776,0.04264,1.44131,17.71732,0.00264,0.07074,0.00792,666.37917
59.87188,0.26409,4.09334,20.78672,3.94691,0.00216,0.75936,0.02333,2.95167,6.34607,1.28407,0.98363,0.55484,1.98802,9996.521066525693,8.26212,2.82306,0.04264,3.1117,5.07818,0.76603,3.58303,0.19294,398.53176
105.97647,0.27585,1.19665,19.73686,1.26631,0.00216,0.01814,0.02247,1.85167,9.86638,0.7652,0.00624,0.32839,0.07557,10000.0,8.64234,1.951,0.04264,1.59869,16.49341,0.00815,0.23013,0.01603,521.40549
