Period,Amplitude,kfᴸᴬ,krᴸᴬ,kfᴸᴷ,krᴸᴷ,kcatᴸᴷ,kfᴸᴾ,krᴸᴾ,kcatᴸᴾ,kfᴬᴷ,krᴬᴷ,kfᴬᴾ,krᴬᴾ,DF,L,K,P,A,Kdᴸᴬ,Kdᴬᴷ,Kdᴬᴾ,Kmᴸᴷ,Kmᴸᴾ
310.1,0.52789,1.01077,0.83507,0.001,3.19076,680.99641,1.36253,1.001,5.67038,0.33433,0.001,0.09992,0.001,50.0,85.43061,7.55979,2.37208,4.35091,0.82617,0.00299,0.01001,684187.1703,4.89631
189.15556,0.77468,35.43092,92.7413,0.001,178.67458,25.14024,1.16,0.02761,2.35379,0.84261,0.001,48.66523,5.72524,500.0,99.70263,7.7203,2.3349,1.39891,2.61752,0.00119,0.11765,203814.82316,2.05293
339.175,0.80879,0.85539,1.67204,0.001,0.001,9.31017,25.95742,0.01183,115.35526,16.61027,0.001,19.02048,0.00283,500.0,68.43848,2.55839,0.04732,0.71741,1.95471,6.0e-5,0.00015,9311.16804,4.44447
212.55,0.72335,9.67489,1.62153,0.59518,821.43789,6.58532,2.19065,0.126,1.14114,12.8379,1.50176,0.001,0.001,500.0,6.04371,1.43911,1.353,0.81439,0.1676,0.11698,1.0,1391.21468,0.57843
685.2,0.79764,4.44985,0.32259,0.001,17.26607,33.98219,20.18742,0.12861,11.08706,5.45521,0.001,0.96727,0.001,500.0,78.4843,1.11024,0.33238,0.26483,0.07249,0.00018,0.00103,51248.26396,0.55558
399.46667,0.70154,12.16594,2.13066,0.001,2.88742,317.99037,1.4917,0.01473,0.16885,0.21949,0.03004,0.03846,0.00118,1000.0,18.36485,0.36455,0.29959,0.14962,0.17513,0.13685,0.03058,320877.78531,0.12307
832.6,0.81744,0.40519,0.19723,0.001,567.06685,807.96381,79.83553,44.6238,1.54243,0.13241,0.12974,0.001,0.001,500.0,24.14555,57.22599,4.41817,5.54254,0.48675,0.97983,1.0,1.37503066357e6,0.57827
414.06667,0.64479,10.45594,10.33663,0.001,0.126,21.3821,6.92222,0.001,75.71711,2.74323,0.001,1.00175,0.001,500.0,31.64819,32.62366,1.1239,5.3239,0.98859,0.00036,0.001,21508.10305,10.93841
765.5,0.73734,98.07999,12.40333,0.001,0.83433,55.93585,3.5351,1.251,4.73604,56.06634,0.001,1.3984,0.001,1000.0,7.95536,2.28049,1.39251,0.48407,0.12646,2.0e-5,0.00072,56770.17907,1.6936
665.2,0.72602,15.4384,0.45506,0.001,2.69195,30.56458,35.65121,0.001,13.20688,1.7133,0.33509,0.001,0.001,1000.0,3.87529,10.72514,0.42172,0.86793,0.02948,0.19558,1.0,33256.53479,0.37047
11.39682,0.48518,5.69085,7.54348,0.001,0.33369,914.23736,2.17964,0.21361,4.97792,0.63497,0.376,0.376,0.251,500.0,10.89973,21.94186,0.79905,2.22043,1.32554,0.59216,0.66755,914571.05516,2.38183
158.71818,0.53826,51.89622,13.6049,0.001,0.45978,392.71405,1.07182,0.001,1.1807,3.46147,31.34399,0.001,0.001,1000.0,50.73079,25.39382,8.06762,2.88202,0.26216,9.0551,1.0,393173.833,1.10252
